,Event,Year,Registered,Gender,Event Age,Zip,Estimated Finish Time,"Would you like to upgrade to the VIP Experience for the Red, White & Boom TC 5K?",Interested in Volunteering,Number of Dependents 18 and Younger Living with You,How did you hear about us?,How did you hear about us?  Other,Occupation,Highest Level of Education,Annual Household Income,I would like to Sponsor a Child for an additional $10.00
1,TC5K,2015,2/4/2015 9:58 PM,Female,61,55104,00:00:00,,No Thank You,,TCM Website/Email,,,Prefer not to answer,,
14,TC5K,2015,1/28/2015 12:48 PM,Male,69,56172,00:00:00,,No Thank You,0.0,Other,Ran ther last year series,CEO/President,Prefer not to answer,$50 001-$60 000,
23,TC5K,2015,1/20/2015 6:50 AM,Male,53,55311,00:00:00,,,0.0,TCM Website/Email,,Engineer,Technical/2 Year,$70 001-$80 000,Friend of TCM (paid additional $10.00) 
24,TC5K,2015,1/18/2015 1:59 PM,Female,47,56032,00:00:00,,No Thank You,5.0,Facebook/Twitter/Social Media,,Service,Technical/2 Year,$70 001-$80 000,Friend of TCM (paid additional $10.00) 
28,TC5K,2015,1/13/2015 9:15 AM,Female,55,55779,00:00:00,,No Thank You,,Other,Grandma's Marathon,,Prefer not to answer,,
30,TC5K,2015,1/9/2015 4:01 PM,Female,47,55419,00:00:00,,No Thank You,1.0,Coworker/Work,,Marketing/Public Relations,Prefer not to answer,,
33,TC5K,2015,1/5/2015 3:43 PM,Female,47,55427,00:00:00,,No Thank You,1.0,Other,running calendar website,Health Related Occupation,Post Graduate Degree,$90 001-$100 000,Friend of TCM (paid additional $10.00) 
35,TC5K,2015,1/2/2015 10:29 AM,Male,50,55403,00:00:00,,No Thank You,,Facebook/Twitter/Social Media,,,Prefer not to answer,,
36,TC5K,2015,1/2/2015 10:25 AM,Female,50,55403,00:00:00,,No Thank You,0.0,Facebook/Twitter/Social Media,,,Prefer not to answer,,
38,TC5K,2015,12/28/2014 10:31 AM,Female,46,55437,00:00:00,,No Thank You,,Facebook/Twitter/Social Media,,,Prefer not to answer,,
39,TC5K,2015,12/25/2014 2:21 PM,Female,51,55378,00:00:00,,,0.0,Ad,,Other,Undergraduate Degree,$130 001-$140 000,
45,TC5K,2015,12/11/2014 12:28 PM,Male,53,55446,00:00:00,,No Thank You,0.0,TCM Website/Email,,Engineer,Post Graduate Degree,over $200 001,
49,TC5K,2015,12/8/2014 7:47 PM,Female,58,55127,00:00:00,,No Thank You,0.0,TCM Website/Email,Previous Race,,Prefer not to answer,,
51,TC5K,2015,12/8/2014 3:13 PM,Female,59,55442,00:00:00,,No Thank You,0.0,Coworker/Work,,Health Related Occupation,Post Graduate Degree,over $200 001,
52,TC5K,2015,12/8/2014 2:55 PM,Female,48,55327,00:00:00,,No Thank You,0.0,Coworker/Work,Registered for the TC 1 Mile,Administrative/Manager,Technical/2 Year,,
55,TC5K,2015,12/7/2014 8:26 AM,Female,48,56011,00:00:00,,No Thank You,0.0,Friend/Family,,Administrative/Manager,Undergraduate Degree,,Friend of TCM (paid additional $10.00) 
59,TC5K,2015,12/4/2014 5:33 PM,Female,55,55416,00:00:00,,No Thank You,,Coworker/Work,,,Prefer not to answer,,
60,TC5K,2015,12/3/2014 8:24 AM,Male,61,55106,00:00:00,,,,TCM Website/Email,,,Prefer not to answer,,
62,TC5K,2015,12/2/2014 1:53 PM,Female,49,55374,00:00:00,,,,TCM Website/Email,,,Prefer not to answer,,
63,TC5K,2015,11/22/2014 10:20 AM,Male,59,55129,00:00:00,,No Thank You,1.0,Running Group/Store,,,Prefer not to answer,,
64,TC5K,2015,11/22/2014 10:13 AM,Female,49,55104,00:00:00,,No Thank You,,TCM Website/Email,,,Post Graduate Degree,,
68,TC5K,2015,11/10/2014 1:20 PM,Female,47,55102,00:00:00,,No Thank You,,TCM Website/Email,,,Prefer not to answer,,
75,TC5K,2015,10/29/2014 7:45 PM,Female,49,55431,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,TCM Website/Email,,Finance/Account/Banker,Undergraduate Degree,$100 001-$110 000,
85,TC5K,2015,10/21/2014 8:09 PM,Female,55,55410,00:00:00,,No Thank You,0.0,Friend/Family,,Education,Post Graduate Degree,,
90,TC5K,2015,10/21/2014 1:17 PM,Male,48,55305,00:00:00,,No Thank You,1.0,TCM Website/Email,,Other,Undergraduate Degree,,
91,TC5K,2015,10/21/2014 12:28 PM,Female,57,55105,00:00:00,,No Thank You,0.0,TCM Website/Email,Work email,Health Related Occupation,Post Graduate Degree,$90 001-$100 000,Friend of TCM (paid additional $10.00) 
97,TC5K,2015,10/21/2014 10:06 AM,Female,53,57013,00:00:00,,No Thank You,,Friend/Family,have run with TC before,,Prefer not to answer,,
105,TC5K,2016,1/5/2016 12:44 PM,Male,60,55311,00:00:00,,No Thank You,0.0,Friend/Family,,Finance/Account/Banker,Undergraduate Degree,$100 001-$110 000,
113,TC5K,2016,12/28/2015 5:29 PM,Female,47,55410,00:00:00,,No Thank You,1.0,Friend/Family,,,Prefer not to answer,,
114,TC5K,2016,12/28/2015 10:28 AM,Female,49,55372,00:00:00,,No Thank You,2.0,Facebook/Twitter/Social Media,,Other,Undergraduate Degree,over $200 001,
115,TC5K,2016,12/27/2015 5:25 PM,Female,57,55379,00:00:00,,No Thank You,,Friend/Family,,,Prefer not to answer,,
116,TC5K,2016,12/27/2015 5:25 PM,Male,57,55379,00:00:00,,No Thank You,1.0,TCM Website/Email,,Other,Technical/2 Year,,
121,TC5K,2016,12/18/2015 10:32 AM,Female,48,55419,00:00:00,,No Thank You,1.0,Coworker/Work,,CEO/President,Prefer not to answer,,
123,TC5K,2016,12/13/2015 4:51 PM,Female,51,55107,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,Friend/Family,,Administrative/Manager,Post Graduate Degree,$100 001-$110 000,
127,TC5K,2016,12/10/2015 8:20 PM,Female,52,55106,00:00:00,,No Thank You,0.0,Other,Daughter,Other,High School Graduate/GED,$130 001-$140 000,
132,TC5K,2016,12/9/2015 11:30 PM,Male,46,55811,00:00:00,,No Thank You,,Other,Participant 2015 TC 5K,,Prefer not to answer,,
