Dates,International Business Machines Corporation (NYSE:IBM) - Share Pricing
Aug-08-2022,132.61
Aug-09-2022,129.47
Aug-10-2022,131.50
Aug-11-2022,132.54
Aug-12-2022,134.01
Aug-15-2022,134.93
Aug-16-2022,136.56
Aug-17-2022,137.79
Aug-18-2022,139.07
Aug-19-2022,138.37
Aug-22-2022,135.55
Aug-23-2022,134.74
Aug-24-2022,133.23
Aug-25-2022,133.98
Aug-26-2022,130.38
Aug-29-2022,130.31
Aug-30-2022,129.58
Aug-31-2022,128.45
Sep-01-2022,129.66
Sep-02-2022,127.79
Sep-06-2022,126.72
Sep-07-2022,127.71
Sep-08-2022,128.47
Sep-09-2022,129.19
Sep-12-2022,130.66
Sep-13-2022,127.25
Sep-14-2022,127.69
Sep-15-2022,125.49
Sep-16-2022,127.27
Sep-19-2022,127.73
Sep-20-2022,126.30
Sep-21-2022,124.93
Sep-22-2022,125.31
Sep-23-2022,122.71
Sep-26-2022,122.01
Sep-27-2022,121.74
Sep-28-2022,122.76
Sep-29-2022,121.63
Sep-30-2022,118.81
Oct-03-2022,121.51
Oct-04-2022,125.50
Oct-05-2022,125.74
Oct-06-2022,122.23
Oct-07-2022,118.82
Oct-10-2022,117.75
Oct-11-2022,117.80
Oct-12-2022,117.57
Oct-13-2022,121.79
Oct-14-2022,120.04
Oct-17-2022,121.52
Oct-18-2022,122.94
Oct-19-2022,122.51
Oct-20-2022,128.30
Oct-21-2022,129.90
Oct-24-2022,132.69
Oct-25-2022,132.93
Oct-26-2022,135.01
Oct-27-2022,134.77
Oct-28-2022,138.51
Oct-31-2022,138.29
Nov-01-2022,138.20
Nov-02-2022,136.83
Nov-03-2022,134.47
Nov-04-2022,136.96
Nov-07-2022,138.34
Nov-08-2022,140.04
Nov-09-2022,137.39
Nov-10-2022,141.23
Nov-11-2022,143.17
Nov-14-2022,144.20
Nov-15-2022,144.34
Nov-16-2022,144.52
Nov-17-2022,146.09
Nov-18-2022,147.64
Nov-21-2022,146.68
Nov-22-2022,149.10
Nov-23-2022,148.75
Nov-25-2022,148.37
Nov-28-2022,146.18
Nov-29-2022,146.49
Nov-30-2022,148.90
Dec-01-2022,149.16
Dec-02-2022,148.67
Dec-05-2022,147.41
Dec-06-2022,147.50
Dec-07-2022,147.27
Dec-08-2022,147.78
Dec-09-2022,147.05
Dec-12-2022,149.21
Dec-13-2022,150.57
Dec-14-2022,149.86
Dec-15-2022,142.36
Dec-16-2022,140.16
Dec-19-2022,138.87
Dec-20-2022,141.28
Dec-21-2022,142.14
Dec-22-2022,140.88
Dec-23-2022,141.65
Dec-27-2022,142.42
Dec-28-2022,140.02
Dec-29-2022,141.06
Dec-30-2022,140.89
Jan-03-2023,141.55
Jan-04-2023,142.60
Jan-05-2023,141.11
Jan-06-2023,143.70
Jan-09-2023,143.55
Jan-10-2023,144.80
Jan-11-2023,145.26
Jan-12-2023,145.55
Jan-13-2023,145.89
Jan-17-2023,145.19
Jan-18-2023,140.41
Jan-19-2023,140.62
Jan-20-2023,141.20
Jan-23-2023,141.86
Jan-24-2023,141.49
Jan-25-2023,140.76
Jan-26-2023,134.45
Jan-27-2023,134.39
Jan-30-2023,135.30
Jan-31-2023,134.73
Feb-01-2023,135.09
Feb-02-2023,136.39
Feb-03-2023,136.94
Feb-06-2023,136.18
Feb-07-2023,135.84
Feb-08-2023,135.98
Feb-09-2023,133.75
Feb-10-2023,135.60
Feb-13-2023,137.35
Feb-14-2023,136.01
Feb-15-2023,136.40
Feb-16-2023,135.00
Feb-17-2023,135.02
Feb-21-2023,131.71
Feb-22-2023,130.97
Feb-23-2023,130.79
Feb-24-2023,130.57
Feb-27-2023,130.49
Feb-28-2023,129.30
Mar-01-2023,128.19
Mar-02-2023,128.93
Mar-03-2023,129.64
Mar-06-2023,130.19
Mar-07-2023,128.25
Mar-08-2023,128.05
Mar-09-2023,126.16
Mar-10-2023,125.45
Mar-13-2023,125.58
Mar-14-2023,124.65
Mar-15-2023,123.28
Mar-16-2023,124.70
Mar-17-2023,123.69
Mar-20-2023,125.94
Mar-21-2023,126.57
Mar-22-2023,124.05
Mar-23-2023,123.37
Mar-24-2023,125.29
Mar-27-2023,129.31
Mar-28-2023,129.34
Mar-29-2023,129.71
Mar-30-2023,129.22
Mar-31-2023,131.09
Apr-03-2023,132.06
Apr-04-2023,131.60
Apr-05-2023,132.14
Apr-06-2023,130.50
Apr-10-2023,131.03
Apr-11-2023,130.42
Apr-12-2023,128.54
Apr-13-2023,127.90
Apr-14-2023,128.14
Apr-17-2023,127.82
Apr-18-2023,127.78
Apr-19-2023,126.32
Apr-20-2023,126.36
Apr-21-2023,125.73
Apr-24-2023,125.40
Apr-25-2023,125.89
Apr-26-2023,125.85
Apr-27-2023,126.97
Apr-28-2023,126.41
May-01-2023,126.09
May-02-2023,125.16
May-03-2023,123.45
May-04-2023,122.57
May-05-2023,123.65
May-08-2023,123.40
May-09-2023,121.17
May-10-2023,122.02
May-11-2023,120.90
May-12-2023,122.84
May-15-2023,123.36
May-16-2023,123.46
May-17-2023,125.71
May-18-2023,126.15
May-19-2023,127.26
May-22-2023,127.50
May-23-2023,128.18
May-24-2023,125.68
May-25-2023,126.76
May-26-2023,128.89
May-30-2023,129.48
May-31-2023,128.59
Jun-01-2023,129.82
Jun-02-2023,132.42
Jun-05-2023,132.64
Jun-06-2023,132.69
Jun-07-2023,134.38
Jun-08-2023,134.41
Jun-09-2023,135.30
Jun-12-2023,136.42
Jun-13-2023,137.60
Jun-14-2023,137.20
Jun-15-2023,138.40
Jun-16-2023,137.48
Jun-20-2023,135.96
Jun-21-2023,133.69
Jun-22-2023,131.17
Jun-23-2023,129.43
Jun-26-2023,131.34
Jun-27-2023,132.34
